bin_id,latitude,longitude,ward_zone,amenity,operator,capacity_liters,waste_type,current_fill_pct,fill_rate_pct_hr,dist_from_depot_km,calorific_value_hhv_mj_kg,recyclable_fraction_pct,time_to_overflow_hrs,urgency_index,recovery_index,cost_index,scps_score,zone_cluster
BIN_0019,28.633584,77.216641,Central / NDMC,waste_basket,NDMC,500,Organic/Wet,79.0,4.68,7.41,11.93,12.6,4.5,0.719,0.317,0.291,0.396,0
BIN_0020,28.482307,77.111847,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Recyclable/Dry,17.6,2.27,13.46,20.64,70.5,36.3,0.204,0.792,0.528,0.234,1
BIN_0021,28.484296,77.112179,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Organic/Wet,49.1,3.75,13.28,11.52,14.1,13.6,0.477,0.316,0.521,0.229,1
BIN_0022,28.484259,77.112142,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Organic/Wet,92.2,3.48,13.28,10.65,7.9,2.2,0.769,0.266,0.521,0.36,1
BIN_0023,28.484208,77.116144,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Recyclable/Dry,89.1,2.47,13.01,22.86,84.5,4.4,0.711,0.909,0.511,0.526,1
BIN_0024,28.483159,77.115455,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Recyclable/Dry,33.9,2.28,13.14,22.98,75.7,29.0,0.318,0.867,0.516,0.316,1
BIN_0025,28.482394,77.114902,South (Saket / Hauz Khas),waste_basket,MCD-South,300,Recyclable/Dry,49.6,3.28,13.24,22.8,70.1,15.4,0.463,0.836,0.52,0.378,1
BIN_0026,28.484213,77.114918,South (Saket / Hauz Khas),waste_basket,MCD-South,300,Organic/Wet,58.1,3.97,13.09,11.18,14.4,10.6,0.547,0.31,0.514,0.264,1
BIN_0027,28.485693,77.114581,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Organic/Wet,56.3,3.76,13.0,12.44,14.6,11.6,0.527,0.338,0.51,0.263,1
BIN_0028,28.484813,77.112472,South (Saket / Hauz Khas),waste_basket,MCD-South,300,Organic/Wet,19.3,4.51,13.22,10.57,11.1,17.9,0.295,0.28,0.519,0.128,1
BIN_0029,28.483987,77.112994,South (Saket / Hauz Khas),waste_basket,MCD-South,300,Mixed Municipal,96.8,3.72,13.25,13.6,22.2,0.9,0.809,0.4,0.52,0.421,1
BIN_0030,28.62356,77.234366,Central / NDMC,waste_basket,NDMC,300,Recyclable/Dry,45.5,3.82,6.7,22.31,74.3,14.3,0.454,0.846,0.263,0.428,0
BIN_0031,28.62269,77.235151,Central / NDMC,waste_basket,NDMC,500,Recyclable/Dry,41.6,4.09,6.64,21.18,71.6,14.3,0.436,0.809,0.261,0.408,0
BIN_0032,28.622408,77.235466,Central / NDMC,waste_disposal,NDMC,2000,Mixed Municipal,33.3,5.8,6.62,14.74,37.9,11.5,0.439,0.503,0.26,0.318,0
BIN_0033,28.624572,77.233253,Central / NDMC,waste_basket,NDMC,500,Recyclable/Dry,48.0,4.35,6.77,20.24,71.7,12.0,0.49,0.789,0.266,0.429,0
BIN_0034,28.624109,77.233757,Central / NDMC,waste_basket,NDMC,500,Recyclable/Dry,59.9,2.52,6.74,21.88,83.2,15.9,0.509,0.882,0.265,0.466,0
BIN_0035,28.631511,77.302838,Shahdara South (Mayur Vihar),waste_basket,MCD-ShahdaraSouth,500,Organic/Wet,36.6,4.55,11.54,10.85,14.8,13.9,0.417,0.305,0.453,0.21,11
BIN_0036,28.631631,77.302856,Shahdara South (Mayur Vihar),waste_basket,MCD-ShahdaraSouth,800,Mixed Municipal,38.1,2.97,11.55,14.4,33.2,20.8,0.372,0.472,0.453,0.237,11
BIN_0037,28.563036,77.239303,South-East (Lajpat / Okhla),waste_basket,MCD-SouthEast,500,Recyclable/Dry,85.6,4.22,2.9,22.78,77.3,3.4,0.749,0.871,0.114,0.613,2
BIN_0038,28.610393,77.287827,Shahdara South (Mayur Vihar),waste_basket,MCD-ShahdaraSouth,800,Recyclable/Dry,93.0,2.93,8.99,21.84,80.5,2.4,0.755,0.867,0.353,0.567,11
BIN_0039,28.608574,77.288813,Shahdara South (Mayur Vihar),waste_basket,MCD-ShahdaraSouth,800,Organic/Wet,97.5,4.35,8.97,11.11,9.9,0.6,0.837,0.286,0.352,0.434,11
BIN_0040,28.568453,77.164884,South (Saket / Hauz Khas),waste_basket,MCD-South,300,Organic/Wet,76.8,4.1,4.41,11.49,6.8,5.7,0.683,0.278,0.173,0.39,1
BIN_0041,28.569404,77.164906,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Organic/Wet,35.8,4.91,4.41,11.59,10.1,13.1,0.425,0.297,0.173,0.267,1
BIN_0042,28.570526,77.330972,Shahdara South (Mayur Vihar),waste_basket,MCD-ShahdaraSouth,500,Mixed Municipal,44.1,3.59,11.82,14.22,33.6,15.6,0.436,0.471,0.464,0.266,11
BIN_0043,28.564566,77.250299,South-East (Lajpat / Okhla),waste_transfer_station,MCD-SouthEast,1500,Mixed Municipal,75.0,5.28,3.95,14.44,32.4,4.7,0.712,0.469,0.155,0.466,2
BIN_0044,28.519823,77.215934,South (Saket / Hauz Khas),waste_disposal,MCD-South,2500,Mixed Municipal,97.5,4.67,5.3,14.43,36.5,0.5,0.848,0.49,0.208,0.529,1
BIN_0045,28.519015,77.210681,South (Saket / Hauz Khas),waste_disposal,MCD-South,2000,Mixed Municipal,16.3,5.98,5.36,15.38,38.7,14.0,0.326,0.521,0.21,0.277,1
BIN_0046,28.539712,77.234402,South (Saket / Hauz Khas),waste_disposal,MCD-South,1500,Mixed Municipal,85.8,8.35,3.88,14.07,39.5,1.7,0.896,0.497,0.152,0.567,1
BIN_0047,28.570256,77.168025,South (Saket / Hauz Khas),waste_transfer_station,MCD-South,2500,Mixed Municipal,55.3,5.57,4.11,13.76,27.9,8.0,0.584,0.432,0.161,0.39,1
BIN_0048,28.514886,77.22932,South (Saket / Hauz Khas),waste_disposal,MCD-South,2000,Mixed Municipal,62.3,7.28,6.12,14.39,39.0,5.2,0.694,0.501,0.24,0.449,1
BIN_0049,28.531879,77.20408,South (Saket / Hauz Khas),waste_disposal,MCD-South,2000,Mixed Municipal,58.0,5.06,3.97,14.54,39.9,8.3,0.585,0.509,0.156,0.414,1
BIN_0050,28.538602,77.198422,South (Saket / Hauz Khas),waste_disposal,MCD-South,2000,Mixed Municipal,73.8,5.05,3.38,13.81,37.7,5.2,0.695,0.482,0.133,0.466,1
BIN_0051,28.509611,77.179508,South (Saket / Hauz Khas),waste_disposal,MCD-South,2500,Mixed Municipal,87.0,7.74,7.06,13.73,37.1,1.7,0.883,0.478,0.277,0.529,1
BIN_0052,28.528029,77.209852,South (Saket / Hauz Khas),waste_disposal,MCD-South,1500,Mixed Municipal,31.1,7.01,4.36,13.2,25.1,9.8,0.466,0.406,0.171,0.321,1
BIN_0053,28.585842,77.218743,South-East (Lajpat / Okhla),waste_basket,MCD-SouthEast,300,Organic/Wet,63.0,3.08,2.24,10.6,13.9,12.0,0.55,0.295,0.088,0.346,2
BIN_0054,28.58596,77.220091,South-East (Lajpat / Okhla),waste_basket,MCD-SouthEast,300,Recyclable/Dry,84.6,4.45,2.31,20.14,72.8,3.5,0.75,0.793,0.091,0.595,2
BIN_0055,28.52558,77.263882,South-East (Lajpat / Okhla),waste_disposal,MCD-SouthEast,2000,Mixed Municipal,44.9,7.79,7.01,13.08,25.6,7.1,0.59,0.406,0.275,0.362,2
BIN_0056,28.560925,77.162008,South (Saket / Hauz Khas),waste_basket,MCD-South,300,Recyclable/Dry,22.1,3.56,4.74,22.35,73.9,21.9,0.281,0.845,0.186,0.357,1
BIN_0057,28.633298,77.21666,Central / NDMC,waste_basket,NDMC,300,Recyclable/Dry,96.0,3.82,7.38,21.2,81.5,1.0,0.807,0.859,0.29,0.603,0
BIN_0058,28.633032,77.216662,Central / NDMC,waste_basket,NDMC,500,Organic/Wet,21.5,4.32,7.35,12.09,7.7,18.2,0.304,0.296,0.289,0.183,0
BIN_0059,28.585415,77.212262,Central / NDMC,waste_basket,NDMC,300,Mixed Municipal,29.4,3.52,2.04,15.09,30.4,20.1,0.33,0.473,0.08,0.291,0
BIN_0060,28.593264,77.223638,Central / NDMC,waste_basket,NDMC,300,Organic/Wet,38.2,4.98,3.19,11.6,12.1,12.4,0.444,0.307,0.125,0.289,0
BIN_0061,28.584991,77.212232,Central / NDMC,waste_basket,NDMC,800,Recyclable/Dry,35.6,3.05,1.99,21.27,81.0,21.1,0.357,0.858,0.078,0.42,0
BIN_0062,28.521057,77.212869,South (Saket / Hauz Khas),waste_disposal,MCD-South,2500,Mixed Municipal,18.8,4.96,5.14,14.89,25.2,16.4,0.307,0.443,0.202,0.246,1
BIN_0063,28.522652,77.214071,South (Saket / Hauz Khas),waste_disposal,MCD-South,1500,Mixed Municipal,16.4,5.2,4.97,13.78,39.7,16.1,0.299,0.492,0.195,0.258,1
BIN_0064,28.524198,77.207108,South (Saket / Hauz Khas),waste_disposal,MCD-South,2000,Mixed Municipal,51.0,5.19,4.79,14.23,32.1,9.4,0.541,0.463,0.188,0.372,1
BIN_0065,28.616501,77.08002,West (Janakpuri / Rajouri),waste_disposal,MCD-West,2500,Mixed Municipal,36.7,8.05,13.82,13.12,39.2,7.9,0.542,0.475,0.543,0.305,4
BIN_0066,28.57188,77.172341,South (Saket / Hauz Khas),waste_disposal,MCD-South,2000,Mixed Municipal,69.7,7.93,3.71,14.56,32.5,3.8,0.769,0.472,0.146,0.497,1
BIN_0067,28.56572,77.160937,South (Saket / Hauz Khas),waste_disposal,MCD-South,2500,Mixed Municipal,81.5,7.05,4.79,15.36,38.0,2.6,0.82,0.517,0.188,0.528,1
BIN_0068,28.567637,77.16077,South (Saket / Hauz Khas),waste_disposal,MCD-South,2000,Mixed Municipal,83.1,7.74,4.81,14.43,26.9,2.2,0.856,0.442,0.189,0.523,1
BIN_0069,28.547066,77.229067,South (Saket / Hauz Khas),waste_disposal,MCD-South,2500,Mixed Municipal,37.7,5.33,2.91,15.05,34.8,11.7,0.453,0.494,0.114,0.352,1
BIN_0070,28.53091,77.21717,South (Saket / Hauz Khas),recycling,MCD-South,1000,Recyclable/Dry,66.3,2.6,4.1,19.57,81.4,13.0,0.556,0.823,0.161,0.493,1
BIN_0071,28.522024,77.222565,South (Saket / Hauz Khas),waste_disposal,MCD-South,2500,Mixed Municipal,16.9,7.88,5.17,13.18,29.8,10.5,0.397,0.429,0.203,0.287,1
BIN_0072,28.57327,77.24587,South-East (Lajpat / Okhla),waste_disposal,MCD-SouthEast,2000,Mixed Municipal,43.9,7.27,3.57,13.65,32.4,7.7,0.565,0.452,0.14,0.39,2
BIN_0073,28.575102,77.243268,South-East (Lajpat / Okhla),waste_disposal,MCD-SouthEast,2500,Mixed Municipal,38.4,7.71,3.37,15.19,36.0,8.0,0.542,0.503,0.132,0.395,2
BIN_0074,28.550391,77.252461,South-East (Lajpat / Okhla),waste_disposal,MCD-SouthEast,2000,Mixed Municipal,75.7,6.8,4.55,14.06,33.5,3.6,0.771,0.467,0.179,0.49,2
BIN_0075,28.564642,77.250337,South-East (Lajpat / Okhla),waste_disposal,MCD-SouthEast,2000,Mixed Municipal,61.6,7.97,3.95,13.63,33.7,4.8,0.713,0.458,0.155,0.463,2
BIN_0076,28.635044,77.221252,Central / NDMC,waste_basket,NDMC,300,Recyclable/Dry,59.3,2.94,7.62,22.2,74.3,13.8,0.519,0.844,0.299,0.453,0
BIN_0077,28.568064,77.249967,South-East (Lajpat / Okhla),waste_disposal,MCD-SouthEast,1500,Mixed Municipal,15.9,6.06,3.9,13.8,38.4,13.9,0.326,0.486,0.153,0.278,2
BIN_0078,28.536725,77.197449,South (Saket / Hauz Khas),waste_disposal,MCD-South,1500,Mixed Municipal,71.2,8.33,3.6,15.12,30.3,3.5,0.793,0.473,0.141,0.51,1
BIN_0079,28.52356,77.229492,South (Saket / Hauz Khas),waste_disposal,MCD-South,2500,Mixed Municipal,65.0,4.87,5.21,14.23,26.2,7.2,0.627,0.434,0.205,0.403,1
BIN_0080,28.512241,77.249115,South (Saket / Hauz Khas),waste_transfer_station,MCD-South,2500,Mixed Municipal,24.4,7.63,7.21,13.53,39.2,9.9,0.441,0.484,0.283,0.309,1
BIN_0081,28.515397,77.197086,South (Saket / Hauz Khas),waste_basket,MCD-South,800,Mixed Municipal,60.3,4.34,5.9,15.49,20.8,9.1,0.576,0.434,0.232,0.372,1
BIN_0082,28.62351,77.234308,Central / NDMC,waste_basket,NDMC,500,Mixed Municipal,84.6,4.67,6.7,14.72,32.6,3.3,0.758,0.476,0.263,0.469,0
BIN_0083,28.647366,77.165074,Karol Bagh / Patel Nagar,waste_basket,MCD-KarolBagh,300,Organic/Wet,57.6,3.44,9.93,11.29,13.9,12.3,0.525,0.31,0.39,0.277,5
BIN_0084,28.592185,77.21279,Central / NDMC,waste_basket,NDMC,300,Recyclable/Dry,90.3,2.59,2.79,22.82,85.8,3.7,0.724,0.915,0.11,0.614,0
BIN_0085,28.529335,77.191074,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Organic/Wet,73.5,4.13,4.6,11.92,9.8,6.4,0.661,0.303,0.181,0.385,1
BIN_0086,28.543475,77.251649,South-East (Lajpat / Okhla),waste_basket,MCD-SouthEast,300,Organic/Wet,62.4,4.22,4.85,11.37,7.5,8.9,0.586,0.279,0.19,0.339,2
BIN_0087,28.543625,77.205183,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Recyclable/Dry,34.7,3.7,2.66,22.61,83.4,17.6,0.374,0.898,0.104,0.436,1
BIN_0088,28.540022,77.186521,South (Saket / Hauz Khas),waste_disposal,MCD-South,1500,Mixed Municipal,33.6,7.97,3.79,13.94,29.3,8.3,0.517,0.443,0.149,0.362,1
BIN_0089,28.598465,77.191168,Central / NDMC,waste_basket,NDMC,800,Organic/Wet,58.8,5.67,3.93,12.44,5.4,7.3,0.612,0.292,0.154,0.363,0
BIN_0090,28.598416,77.191142,Central / NDMC,waste_basket,NDMC,800,Organic/Wet,67.2,4.57,3.93,11.61,14.7,7.2,0.632,0.321,0.154,0.381,0
BIN_0091,28.600849,77.192391,Central / NDMC,waste_basket,NDMC,500,Organic/Wet,18.8,5.7,4.12,11.76,10.8,14.2,0.333,0.304,0.162,0.226,0
BIN_0092,28.600813,77.192371,Central / NDMC,waste_basket,NDMC,300,Mixed Municipal,38.0,4.05,4.11,15.23,26.8,15.3,0.409,0.458,0.161,0.31,0
BIN_0093,28.600843,77.192571,Central / NDMC,waste_basket,NDMC,300,Organic/Wet,95.9,3.23,4.11,11.21,10.8,1.3,0.786,0.293,0.161,0.448,0
BIN_0094,28.600864,77.192583,Central / NDMC,waste_basket,NDMC,800,Recyclable/Dry,71.8,4.03,4.11,21.18,75.6,7.0,0.645,0.829,0.161,0.539,0
BIN_0095,28.592494,77.188073,Central / NDMC,waste_basket,NDMC,300,Mixed Municipal,65.9,4.31,3.53,15.06,34.2,7.9,0.614,0.491,0.139,0.427,0
BIN_0096,28.592515,77.188308,Central / NDMC,waste_basket,NDMC,300,Mixed Municipal,46.2,2.57,3.52,15.17,20.7,20.9,0.414,0.426,0.138,0.307,0
BIN_0097,28.592575,77.188129,Central / NDMC,waste_basket,NDMC,500,Mixed Municipal,95.5,3.45,3.54,13.38,28.9,1.3,0.791,0.429,0.139,0.496,0
BIN_0098,28.592413,77.188226,Central / NDMC,waste_basket,NDMC,500,Recyclable/Dry,19.7,2.68,3.52,20.84,77.5,30.0,0.233,0.831,0.138,0.338,0
BIN_0099,28.570605,77.169221,South (Saket / Hauz Khas),waste_basket,MCD-South,800,Recyclable/Dry,78.8,3.39,4.0,23.5,87.9,6.3,0.672,0.94,0.157,0.586,1
BIN_0100,28.572795,77.162954,South (Saket / Hauz Khas),waste_basket,MCD-South,800,Recyclable/Dry,94.2,2.32,4.64,19.74,78.1,2.5,0.742,0.81,0.182,0.578,1
BIN_0101,28.572566,77.162305,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Organic/Wet,24.4,4.07,4.7,11.84,11.2,18.6,0.315,0.308,0.185,0.213,1
BIN_0102,28.577498,77.173351,Central / NDMC,waste_basket,NDMC,500,Recyclable/Dry,60.8,4.13,3.76,22.36,79.4,9.5,0.572,0.873,0.148,0.518,0
BIN_0103,28.574927,77.168472,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Mixed Municipal,77.7,2.57,4.15,14.01,22.0,8.7,0.635,0.408,0.163,0.407,1
BIN_0104,28.574826,77.167559,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Recyclable/Dry,44.1,2.04,4.23,19.56,72.5,27.4,0.381,0.779,0.166,0.391,1
BIN_0105,28.573808,77.165199,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Organic/Wet,57.7,4.04,4.44,11.37,14.0,10.5,0.547,0.312,0.174,0.332,1
BIN_0106,28.573416,77.164341,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Organic/Wet,27.2,5.85,4.51,11.74,13.6,12.4,0.398,0.318,0.177,0.259,1
BIN_0107,28.57404,77.165755,South (Saket / Hauz Khas),waste_basket,MCD-South,800,Organic/Wet,55.9,5.94,4.39,11.02,9.6,7.4,0.602,0.282,0.172,0.351,1
BIN_0108,28.575354,77.168648,South (Saket / Hauz Khas),waste_basket,MCD-South,300,Recyclable/Dry,25.6,2.32,4.14,19.7,71.4,32.1,0.261,0.776,0.163,0.331,1
BIN_0109,28.573076,77.163563,South (Saket / Hauz Khas),waste_basket,MCD-South,300,Organic/Wet,89.4,4.04,4.58,11.78,6.8,2.6,0.769,0.285,0.18,0.434,1
BIN_0110,28.575726,77.169441,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Recyclable/Dry,29.0,2.1,4.07,19.36,73.5,33.8,0.277,0.779,0.16,0.341,1
BIN_0111,28.573381,77.164801,South (Saket / Hauz Khas),waste_basket,MCD-South,300,Organic/Wet,32.1,4.38,4.47,10.68,6.2,15.5,0.38,0.258,0.176,0.232,1
BIN_0112,28.57451,77.166824,South (Saket / Hauz Khas),waste_basket,MCD-South,300,Recyclable/Dry,67.1,4.0,4.29,21.95,70.7,8.2,0.611,0.821,0.168,0.518,1
BIN_0113,28.548596,77.189219,South (Saket / Hauz Khas),waste_basket,MCD-South,300,Mixed Municipal,81.9,3.19,2.9,15.3,20.9,5.7,0.686,0.43,0.114,0.449,1
BIN_0114,28.565571,77.270348,South-East (Lajpat / Okhla),waste_disposal,MCD-SouthEast,1500,Mixed Municipal,91.7,6.65,5.9,14.49,39.8,1.2,0.877,0.507,0.232,0.545,2
BIN_0115,28.548557,77.304489,South-East (Lajpat / Okhla),waste_disposal,MCD-SouthEast,2000,Mixed Municipal,77.0,6.35,9.46,14.55,30.5,3.6,0.764,0.462,0.371,0.446,2
BIN_0116,28.568867,77.213442,South-East (Lajpat / Okhla),waste_basket,MCD-SouthEast,300,Organic/Wet,59.2,4.54,0.38,11.93,14.0,9.0,0.575,0.324,0.015,0.382,2
BIN_0117,28.516465,77.223323,South (Saket / Hauz Khas),waste_disposal,MCD-South,1500,Mixed Municipal,23.7,6.09,5.79,15.17,30.3,12.5,0.382,0.474,0.227,0.288,1
BIN_0118,28.523139,77.235049,South (Saket / Hauz Khas),waste_disposal,MCD-South,2500,Mixed Municipal,32.6,5.79,5.48,13.94,25.3,11.6,0.433,0.423,0.215,0.301,1
BIN_0119,28.663698,77.182966,Karol Bagh / Patel Nagar,waste_disposal,MCD-KarolBagh,2000,Mixed Municipal,54.3,5.87,11.05,14.34,28.5,7.8,0.588,0.448,0.434,0.342,5
BIN_0120,28.624798,77.21934,Central / NDMC,waste_basket,NDMC,300,Recyclable/Dry,61.3,3.84,6.47,20.9,80.5,10.1,0.565,0.847,0.254,0.486,0
BIN_0121,28.570759,77.240116,South-East (Lajpat / Okhla),waste_basket,MCD-SouthEast,500,Recyclable/Dry,65.4,4.25,2.97,20.39,76.1,8.1,0.608,0.814,0.117,0.525,2
BIN_0122,28.538587,77.198811,South (Saket / Hauz Khas),waste_basket,MCD-South,300,Organic/Wet,33.7,3.02,3.36,11.16,14.3,22.0,0.343,0.309,0.132,0.238,1
BIN_0123,28.515193,77.20537,South (Saket / Hauz Khas),waste_disposal,MCD-South,2000,Mixed Municipal,38.7,5.25,5.8,13.61,27.4,11.7,0.457,0.427,0.228,0.311,1
BIN_0124,28.539818,77.242677,South-East (Lajpat / Okhla),waste_basket,MCD-SouthEast,300,Mixed Municipal,96.5,3.53,4.41,13.2,27.9,1.0,0.801,0.42,0.173,0.492,2
BIN_0125,28.540814,77.242348,South-East (Lajpat / Okhla),waste_disposal,MCD-SouthEast,2500,Mixed Municipal,15.4,8.17,4.31,15.24,33.6,10.4,0.397,0.492,0.169,0.312,2
BIN_0126,28.519299,77.207621,South (Saket / Hauz Khas),waste_basket,MCD-South,800,Organic/Wet,59.4,5.16,5.33,11.95,13.2,7.9,0.599,0.32,0.209,0.354,1
BIN_0127,28.522222,77.16837,South (Saket / Hauz Khas),waste_disposal,MCD-South,2000,Mixed Municipal,41.9,5.25,6.45,13.7,36.5,11.1,0.479,0.474,0.253,0.331,1
BIN_0128,28.522936,77.18064,South (Saket / Hauz Khas),waste_disposal,MCD-South,2500,Mixed Municipal,73.7,6.62,5.7,13.5,36.0,4.0,0.75,0.467,0.224,0.471,1
BIN_0129,28.614792,77.233762,Central / NDMC,waste_basket,NDMC,500,Organic/Wet,64.3,3.96,5.78,11.51,14.3,9.0,0.59,0.316,0.227,0.345,0
BIN_0130,28.565024,77.163268,South (Saket / Hauz Khas),waste_disposal,MCD-South,2000,Mixed Municipal,97.2,4.75,4.57,13.84,27.0,0.6,0.849,0.429,0.179,0.517,1
BIN_0131,28.533041,77.152124,South (Saket / Hauz Khas),waste_disposal,MCD-South,1500,Mixed Municipal,15.2,5.06,6.81,14.71,26.3,16.8,0.286,0.444,0.267,0.223,1
BIN_0132,28.644064,77.218329,City / Chandni Chowk,waste_basket,MCD-CitySP,300,Organic/Wet,85.6,3.32,8.59,11.71,12.9,4.3,0.717,0.314,0.337,0.385,9
BIN_0133,28.524654,77.189941,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Organic/Wet,46.5,3.62,5.12,12.37,14.9,14.8,0.454,0.338,0.201,0.288,1
BIN_0134,28.527148,77.190113,South (Saket / Hauz Khas),waste_basket,MCD-South,800,Recyclable/Dry,77.3,4.07,4.86,18.74,84.1,5.6,0.685,0.819,0.191,0.55,1
BIN_0135,28.525827,77.189924,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Recyclable/Dry,90.4,3.58,5.0,19.43,74.2,2.7,0.76,0.784,0.196,0.576,1
BIN_0136,28.525196,77.189909,South (Saket / Hauz Khas),waste_basket,MCD-South,300,Recyclable/Dry,89.7,3.78,5.07,21.91,78.1,2.7,0.762,0.857,0.199,0.598,1
BIN_0137,28.526394,77.189948,South (Saket / Hauz Khas),waste_basket,MCD-South,500,Recyclable/Dry,47.5,2.89,4.94,20.69,80.4,18.2,0.435,0.842,0.194,0.431,1
BIN_0138,28.529007,77.159183,South (Saket / Hauz Khas),waste_transfer_station,MCD-South,2000,Mixed Municipal,24.7,7.0,6.53,14.36,38.6,10.8,0.421,0.499,0.256,0.309,1
BIN_0139,28.50077,77.301293,South-East (Lajpat / Okhla),waste_disposal,MCD-SouthEast,2000,Mixed Municipal,28.8,7.27,11.58,13.83,36.0,9.8,0.459,0.474,0.455,0.281,2
BIN_0140,28.574415,77.168682,South (Saket / Hauz Khas),waste_disposal,MCD-South,2500,Mixed Municipal,80.5,8.08,4.11,14.55,33.0,2.4,0.85,0.475,0.161,0.535,1
BIN_0141,28.572648,77.169606,South (Saket / Hauz Khas),waste_disposal,MCD-South,2000,Mixed Municipal,26.9,7.61,3.99,14.88,35.6,9.6,0.458,0.495,0.157,0.346,1
