bin_id,osm_id,latitude,longitude,amenity,operator,capacity_liters,waste_type,current_fill_pct,fill_rate_pct_hr,dist_from_depot_km,calorific_value_hhv_mj_kg,recyclable_fraction_pct,time_to_overflow_hrs,urgency_index,recovery_index,cost_index,scps_score,zone_cluster
BIN_093,node/8375360191,28.578063,77.20107,recycling,Rajesh Trader,1000,Recyclable/Dry,48.1,3.16,1.4897711171364512,20.44,78.9,16.4,0.449,0.83,0.162,0.441,0
BIN_094,node/8426912850,28.505545,77.198764,recycling,Monu,1000,Recyclable/Dry,41.8,2.58,6.943025930447706,19.8,82.7,22.6,0.384,0.835,0.753,0.292,2
BIN_095,node/8455268502,28.572281,77.167404,recycling,kabari wala,1000,Recyclable/Dry,30.4,3.18,4.197953830291473,20.56,85.2,21.9,0.326,0.864,0.455,0.331,1
BIN_096,node/9446471202,28.614097,77.230915,waste_basket,MCD/NDMC,300,Mixed Municipal,26.5,4.8,5.600297419853462,14.04,28.7,15.3,0.356,0.442,0.607,0.189,0
BIN_097,node/9446471203,28.61406,77.231405,waste_basket,MCD/NDMC,800,Recyclable/Dry,57.5,3.94,5.614051055323437,19.32,77.4,10.8,0.543,0.798,0.609,0.389,0
BIN_098,node/9446471204,28.613784,77.230889,waste_basket,MCD/NDMC,800,Organic/Wet,64.4,5.49,5.566995392195534,12.0,8.9,6.5,0.646,0.3,0.604,0.292,0
BIN_099,node/9446471205,28.613771,77.2314,waste_basket,MCD/NDMC,300,Organic/Wet,74.0,3.23,5.5840777519064995,10.77,5.1,8.0,0.633,0.255,0.606,0.272,0
BIN_100,node/9446471207,28.611643,77.230853,waste_basket,MCD/NDMC,500,Recyclable/Dry,79.1,3.82,5.344839077998642,23.07,80.5,5.5,0.69,0.894,0.58,0.497,0
BIN_101,node/9446471208,28.61162,77.231273,waste_basket,MCD/NDMC,300,Organic/Wet,36.2,3.82,5.358246234228941,10.91,7.5,16.7,0.389,0.27,0.581,0.159,0
BIN_102,node/9446471209,28.611915,77.231321,waste_basket,MCD/NDMC,800,Recyclable/Dry,58.9,2.06,5.390251045938017,18.73,74.8,20.0,0.486,0.773,0.585,0.358,0
BIN_103,node/9446471210,28.611932,77.230831,waste_basket,MCD/NDMC,500,Recyclable/Dry,26.9,4.42,5.373695750634539,20.04,84.7,16.5,0.346,0.85,0.583,0.311,0
BIN_104,node/9504493214,28.552661,77.23716,waste_disposal,MCD/NDMC,2500,Mixed Municipal,78.9,4.62,3.10639801267905,14.01,27.0,4.6,0.717,0.433,0.337,0.421,3
BIN_105,node/10012582041,28.589997,77.216698,waste_basket,MCD/NDMC,500,Recyclable/Dry,47.3,2.04,2.6179127110624805,19.56,72.5,25.8,0.404,0.779,0.284,0.379,0
BIN_106,node/10012607021,28.589845,77.214856,waste_basket,MCD/NDMC,500,Organic/Wet,60.1,4.04,2.5623160233597453,11.37,14.0,9.9,0.564,0.312,0.278,0.32,0
BIN_107,node/10012734981,28.596144,77.223247,waste_basket,MCD/NDMC,500,Organic/Wet,31.5,5.85,3.4685883640551376,11.74,13.6,11.7,0.429,0.318,0.376,0.234,0
BIN_108,node/10013073724,28.592353,77.22364,waste_basket,MCD/NDMC,800,Organic/Wet,58.4,5.94,3.0978631394189353,11.02,9.6,7.0,0.62,0.283,0.336,0.328,0
BIN_109,node/10049649306,28.543879,77.191727,waste_basket,MCD/NDMC,300,Recyclable/Dry,30.0,2.32,3.1479361110120485,19.7,71.4,30.2,0.293,0.777,0.341,0.311,2
BIN_110,node/10049649307,28.547282,77.183626,waste_basket,MCD/NDMC,300,Organic/Wet,89.9,4.04,3.3971600140721274,11.78,6.8,2.5,0.773,0.285,0.368,0.398,2
BIN_111,node/10049649308,28.548928,77.184663,waste_basket,MCD/NDMC,500,Recyclable/Dry,33.2,2.1,3.2018277005774727,19.36,73.5,31.8,0.307,0.78,0.347,0.318,2
BIN_112,node/10049649309,28.545688,77.182533,waste_basket,MCD/NDMC,300,Organic/Wet,36.1,4.38,3.59425227328232,10.68,6.2,14.6,0.409,0.258,0.39,0.204,2
BIN_113,node/10049649310,28.545517,77.182438,waste_basket,MCD/NDMC,300,Recyclable/Dry,69.0,4.0,3.613754280180108,21.95,70.7,7.8,0.625,0.821,0.392,0.481,2
BIN_114,node/10049730551,28.54392,77.181824,waste_disposal,MCD/NDMC,2500,Mixed Municipal,20.2,6.01,3.7780735184943435,14.28,27.4,13.3,0.355,0.441,0.41,0.228,2
BIN_115,node/10049751874,28.545331,77.191712,waste_basket,MCD/NDMC,800,Organic/Wet,92.1,4.61,3.01716697657599,11.69,14.9,1.7,0.809,0.323,0.327,0.436,2
BIN_116,node/10049751875,28.544933,77.191472,waste_basket,MCD/NDMC,300,Recyclable/Dry,31.5,2.16,3.0667486041594207,21.16,83.0,31.7,0.297,0.866,0.333,0.342,2
BIN_117,node/10049751876,28.544715,77.191703,waste_basket,MCD/NDMC,300,Recyclable/Dry,87.6,2.08,3.0732624317442956,22.72,83.5,6.0,0.687,0.901,0.333,0.547,2
BIN_118,node/10231074876,28.558958,77.195821,waste_basket,MCD/NDMC,300,Organic/Wet,64.0,3.55,1.6605748981566728,10.71,12.4,10.1,0.574,0.29,0.18,0.338,2
BIN_119,node/10539043217,28.587767,77.247941,waste_basket,MCD/NDMC,800,Organic/Wet,57.0,4.03,4.353857384390091,11.57,7.3,10.7,0.542,0.283,0.472,0.262,0
BIN_120,node/10554245165,28.619519,77.22753,recycling,MCD/NDMC,1000,Recyclable/Dry,65.6,3.7,6.064116879632273,20.28,86.0,9.3,0.591,0.862,0.658,0.422,0
BIN_121,node/10778001993,28.599938,77.225889,waste_basket,MCD/NDMC,500,Recyclable/Dry,46.3,2.95,3.9571141404533865,21.43,80.2,18.2,0.429,0.857,0.429,0.386,0
BIN_122,node/10778010111,28.596152,77.223272,waste_basket,MCD/NDMC,800,Recyclable/Dry,92.8,2.83,3.470332521344772,19.72,79.0,2.5,0.75,0.815,0.376,0.544,0
BIN_123,node/10778012934,28.596957,77.223206,waste_basket,MCD/NDMC,300,Organic/Wet,26.9,5.55,3.551236635014848,11.23,9.9,13.2,0.386,0.289,0.385,0.202,0
BIN_124,node/10778018660,28.596278,77.223279,waste_basket,MCD/NDMC,800,Organic/Wet,74.4,3.05,3.483606916474679,12.18,5.5,8.4,0.629,0.287,0.378,0.325,0
BIN_125,node/10778045808,28.595765,77.223462,waste_basket,MCD/NDMC,800,Mixed Municipal,96.1,2.51,3.4375299343924803,14.44,33.8,1.6,0.762,0.476,0.373,0.449,0
BIN_126,node/10778053839,28.599175,77.226156,waste_disposal,MCD/NDMC,2000,Mixed Municipal,63.4,8.22,3.8896913336534498,13.43,35.0,4.5,0.736,0.461,0.422,0.422,0
BIN_127,node/10933921000,28.548725,77.252934,waste_basket,MCD/NDMC,500,Organic/Wet,53.2,3.97,4.669436270207383,12.04,6.9,11.8,0.514,0.291,0.506,0.243,3
BIN_128,node/10933921841,28.549118,77.251349,waste_basket,MCD/NDMC,500,Organic/Wet,65.3,3.87,4.51127901637858,10.73,11.1,9.0,0.595,0.284,0.489,0.285,3
BIN_129,node/10933923914,28.548369,77.252082,waste_basket,MCD/NDMC,300,Organic/Wet,30.5,4.01,4.612583404405286,11.57,5.5,17.3,0.356,0.274,0.5,0.16,3
BIN_130,node/10945905636,28.550349,77.234861,waste_basket,MCD/NDMC,300,Mixed Municipal,73.2,3.14,3.0669446549942716,13.81,32.1,8.5,0.624,0.455,0.333,0.382,3
BIN_131,node/11101285452,28.550663,77.234676,waste_basket,MCD/NDMC,500,Recyclable/Dry,92.5,2.87,3.0314092022616186,20.86,77.4,2.6,0.75,0.831,0.329,0.558,3
BIN_132,node/11131967559,28.553668,77.240996,waste_basket,MCD/NDMC,800,Mixed Municipal,34.1,4.85,3.380556975714416,13.31,31.0,13.6,0.411,0.438,0.367,0.264,3
BIN_133,node/11152241096,28.584371,77.257962,recycling,MCD/NDMC,1000,Recyclable/Dry,85.7,3.94,5.057733775541758,18.83,87.6,3.6,0.74,0.839,0.549,0.512,0
BIN_134,node/11238019379,28.550734,77.234513,waste_basket,MCD/NDMC,300,Recyclable/Dry,83.5,2.41,3.0139470852084544,19.51,72.9,6.8,0.67,0.78,0.327,0.504,3
BIN_135,node/11255333236,28.583968,77.240529,waste_basket,MCD/NDMC,800,Organic/Wet,88.4,4.58,3.5162059765071882,11.83,10.2,2.5,0.782,0.303,0.381,0.405,0
BIN_136,node/11255350765,28.583974,77.240532,waste_basket,MCD/NDMC,800,Recyclable/Dry,49.4,3.6,3.5167607880824243,20.46,88.9,14.1,0.474,0.88,0.381,0.425,0
BIN_137,node/11255359209,28.583173,77.23945,waste_basket,MCD/NDMC,800,Recyclable/Dry,59.2,4.37,3.3800258796158436,20.81,80.1,9.3,0.57,0.844,0.367,0.465,0
BIN_138,node/11255385139,28.583168,77.239449,waste_basket,MCD/NDMC,800,Organic/Wet,62.4,4.65,3.3796857792135135,10.96,14.0,8.1,0.602,0.303,0.367,0.319,0
BIN_139,node/11256811231,28.584087,77.240984,waste_basket,SDMC,800,Organic/Wet,93.3,3.85,3.560941590015905,12.31,11.2,1.7,0.79,0.318,0.386,0.413,0
BIN_140,node/11256811232,28.584085,77.240983,waste_basket,SDMC,800,Recyclable/Dry,81.9,2.85,3.560682302644972,21.64,80.7,6.4,0.675,0.864,0.386,0.519,0
BIN_141,node/11257939838,28.583841,77.240937,waste_basket,SDMC,800,Recyclable/Dry,81.5,4.73,3.5426916674395375,21.6,84.1,3.9,0.739,0.88,0.384,0.557,0
BIN_142,node/11257950511,28.583844,77.240927,waste_basket,SDMC,800,Organic/Wet,78.0,4.25,3.541970896865902,10.8,8.1,5.2,0.697,0.27,0.384,0.353,0
BIN_143,node/11263844764,28.553883,77.23569,waste_basket,MCD/NDMC,300,Recyclable/Dry,84.1,2.86,2.9133727483075815,22.31,85.8,5.6,0.69,0.904,0.316,0.553,3
